structure_number,latitude,longitude,year_built,hwb_class,material,gmpe_model,sa1s_used,replacement_cost_usd,repair_cost_usd,p_none,p_none,p_slight,p_slight,p_moderate,p_moderate,p_extensive,p_extensive,p_complete,p_complete,predicted_ds,obs
52 0169,34.17,-118.7683333,1975.0,HWB16,steel,ASK14,0.189740198834963,1899397.5,2.482783021550557e-25,1.0,1.0,0.0,0.0,0.0,1.6338980526476742e-30,0.0,9.586279282735004e-36,0.0,1.0987951796142899e-44,none,none
52 0171,34.26166667,-118.66,1974.0,HWB7,concrete,ASK14,0.175838785190834,0.0,0.0,1.0,1.0,0.0,3.8963798812496924e-19,0.0,1.7609952502280046e-29,0.0,7.663311741207594e-38,0.0,4.8266374015159203e-51,none,none
52 0172,34.24166667,-118.9,1972.0,HWB5,concrete,ASK14,0.119896542266529,0.0,0.0,1.0,0.9999999999998683,0.0,1.3169395448047564e-13,0.0,1.1891096619874308e-19,0.0,5.866288179951994e-25,0.0,6.168639547928814e-36,none,none
52 0175,34.39666667,-118.795,1974.0,HWB5,concrete,ASK14,0.190087626282973,1351350.0,0.011171013587563573,1.0,0.9999997244666611,0.0,2.7552217908022814e-07,0.0,1.1158865458054341e-11,0.0,9.588475063245736e-16,0.0,1.5624920985884446e-24,none,none
52 0204,34.27833333,-118.795,1979.0,HWB4,concrete,ASK14,0.239182438257362,2636033.4,1.5276369480330615e-17,1.0,1.0,0.0,1.9316860043866627e-22,0.0,1.910833538244124e-27,0.0,6.224648736285368e-32,0.0,1.6801374180279715e-41,none,none
52 0206,34.27166667,-118.78,1956.0,HWB5,concrete,ASK14,0.23293323151841,0.0,0.0,0.0,0.9999671423415165,1.0,3.2850669135513077e-05,0.0,6.98724703654651e-09,0.0,2.100908159694764e-12,0.0,3.140411365836825e-20,none,none
52 0225,34.25666667,-118.7433333,1962.0,HWB7,concrete,ASK14,0.157467133747811,1351350.0,9.616947476462798e-17,1.0,1.0,0.0,2.3721827496311407e-21,0.0,2.9662165855788117e-32,0.0,5.392114423564947e-41,0.0,1.0279278575464946e-54,none,none
52 0226,34.29666667,-118.72,1979.0,HWB4,concrete,ASK14,0.284618651228633,16469609.6565,3.2313181174315296e-13,1.0,1.0,0.0,6.539510017970991e-19,0.0,1.6905943323700807e-23,0.0,1.208990183287322e-27,0.0,1.4691317958002446e-36,none,none
52 0227,34.29333333,-118.72,1979.0,HWB4,prestressed_concrete,ASK14,0.286982219509489,7047040.000000001,1.997329924495309e-13,1.0,1.0,0.0,9.446925133193972e-19,0.0,2.5562566813475586e-23,0.0,1.8976444785394563e-27,0.0,2.476890589343758e-36,none,none
52 0228,34.29,-118.7216667,1979.0,HWB4,concrete,ASK14,0.286538969009494,4776968.196,1.264135513324972e-13,1.0,1.0,0.0,8.820413594998893e-19,0.0,2.3664571645132665e-23,0.0,1.7445209863396227e-27,0.0,2.2467984897166143e-36,none,none
52 0229,34.28,-118.73,1965.0,HWB7,concrete,ASK14,0.27237833933948,4997562.57,1.8555721741905758e-06,1.0,0.9999999999876235,0.0,1.2376514298895796e-11,0.0,8.997790664791959e-20,0.0,1.2406200757718777e-26,0.0,8.890097134399609e-38,none,none
52 0231,34.28333333,-118.6983333,1946.0,HWB3,concrete,ASK14,0.291670373741579,1351350.0,7.835858176479252e-14,1.0,1.0,0.0,1.9326944099002133e-18,0.0,5.718815494901059e-23,0.0,4.5678105314664485e-27,0.0,6.858699944882924e-36,none,none
52 0232,34.275,-118.665,1965.0,HWB7,concrete,ASK14,0.265616711190933,1351350.0,2.1131348714035738e-07,1.0,0.9999999999947876,0.0,5.212404486326826e-12,0.0,2.832744679885619e-20,0.0,3.203605948897376e-27,0.0,1.7495445392307846e-38,none,none
52 0233,34.26833333,-118.6783333,1965.0,HWB5,concrete,ASK14,0.174714945685635,1351350.0,0.0011470390074176603,0.0,0.9999999717072987,1.0,2.8292127905837303e-08,0.0,5.733726333363511e-13,0.0,2.9251988004149536e-17,0.0,1.8973842057378603e-26,none,none
52 0234,34.26833333,-118.6816667,1965.0,HWB5,prestressed_concrete,ASK14,0.174487838922566,3884530.65,0.0031791809307377653,0.0,0.9999999727202163,1.0,2.72792366647883e-08,0.0,5.469639768610783e-13,0.0,2.768102013773872e-17,0.0,1.7701427103915044e-26,none,none
52 0235,34.26666667,-118.7166667,1982.0,HWB4,concrete,ASK14,0.161977709409098,1486485.0,6.979375161406274e-27,1.0,1.0,0.0,1.5650687985203275e-31,0.0,1.7896354454637004e-37,0.0,9.979121983311769e-43,0.0,9.208492057941987e-54,none,none
52 0236,34.29166667,-118.72,1979.0,HWB4,concrete,ASK14,0.28536448157424,1486485.0,3.277084071535725e-14,1.0,1.0,0.0,7.348106061205829e-19,0.0,1.927266258203181e-23,0.0,1.3946337991464769e-27,0.0,1.733505660649879e-36,none,none
52 0242,34.14333333,-118.8566667,1953.0,HWB5,concrete,ASK14,0.120527218300875,1351350.0,6.488041543268064e-09,1.0,0.99999999999984,0.0,1.6003811561784254e-13,0.0,1.5093057891626767e-19,0.0,7.692859816783702e-25,0.0,8.568262618357245e-36,none,none
